IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.65.105.89,4,4,0.00,35.76,0.00,N/A
172.65.120.161,4,4,0.00,35.76,0.00,N/A
104.21.102.95,4,4,0.00,35.77,0.00,N/A
172.64.149.54,4,4,0.00,35.78,0.00,N/A
172.65.253.96,4,4,0.00,35.79,0.00,N/A
104.21.94.196,4,4,0.00,35.80,0.00,N/A
172.67.250.14,4,4,0.00,35.82,0.00,N/A
172.65.69.10,4,4,0.00,35.85,0.00,N/A
172.66.217.78,4,4,0.00,35.87,0.00,N/A
172.67.208.120,4,4,0.00,35.94,0.00,N/A
172.67.173.29,4,4,0.00,35.95,0.00,N/A
172.66.216.74,4,4,0.00,35.96,0.00,N/A
104.21.93.111,4,4,0.00,35.96,0.00,N/A
104.21.75.34,4,4,0.00,35.96,0.00,N/A
172.67.131.185,4,4,0.00,35.97,0.00,N/A
104.21.95.12,4,4,0.00,35.97,0.00,N/A
172.67.239.44,4,4,0.00,35.97,0.00,N/A
104.21.7.71,4,4,0.00,35.97,0.00,N/A
104.21.92.217,4,4,0.00,35.97,0.00,N/A
172.67.153.94,4,4,0.00,35.98,0.00,N/A
172.66.149.84,4,4,0.00,35.98,0.00,N/A
104.21.96.58,4,4,0.00,35.98,0.00,N/A
172.65.162.184,4,4,0.00,35.99,0.00,N/A
104.21.46.203,4,4,0.00,36.00,0.00,N/A
172.65.200.115,4,4,0.00,36.00,0.00,N/A
172.67.227.221,4,4,0.00,36.00,0.00,N/A
172.67.238.63,4,4,0.00,36.01,0.00,N/A
104.21.44.216,4,4,0.00,36.01,0.00,N/A
104.21.18.46,4,4,0.00,36.03,0.00,N/A
172.67.154.19,4,4,0.00,36.03,0.00,N/A
172.67.228.10,4,4,0.00,36.04,0.00,N/A
172.67.128.27,4,4,0.00,36.04,0.00,N/A
104.21.101.94,4,4,0.00,36.06,0.00,N/A
172.66.213.209,4,4,0.00,36.08,0.00,N/A
172.67.135.254,4,4,0.00,36.08,0.00,N/A
172.67.210.180,4,4,0.00,36.09,0.00,N/A
172.65.137.7,4,4,0.00,36.10,0.00,N/A
104.24.81.141,4,4,0.00,36.12,0.00,N/A
172.66.139.219,4,4,0.00,36.12,0.00,N/A
172.67.115.63,4,4,0.00,36.13,0.00,N/A
172.65.100.176,4,4,0.00,36.13,0.00,N/A
172.65.73.9,4,4,0.00,36.13,0.00,N/A
172.67.226.73,4,4,0.00,36.13,0.00,N/A
172.65.177.218,4,4,0.00,36.14,0.00,N/A
172.67.206.42,4,4,0.00,36.14,0.00,N/A
104.21.87.175,4,4,0.00,36.14,0.00,N/A
172.65.123.149,4,4,0.00,36.18,0.00,N/A
172.65.245.115,4,4,0.00,36.19,0.00,N/A
104.24.62.11,4,4,0.00,36.20,0.00,N/A
172.66.2.30,4,4,0.00,36.20,0.00,N/A
104.21.45.21,4,4,0.00,36.24,0.00,N/A
104.27.1.191,4,4,0.00,36.24,0.00,N/A
172.67.220.74,4,4,0.00,36.25,0.00,N/A
104.24.19.229,4,4,0.00,36.25,0.00,N/A
172.66.208.190,4,4,0.00,36.27,0.00,N/A
172.67.225.218,4,4,0.00,36.27,0.00,N/A
172.67.243.198,4,4,0.00,36.29,0.00,N/A
172.67.181.90,4,4,0.00,36.30,0.00,N/A
172.65.93.175,4,4,0.00,36.30,0.00,N/A
172.66.211.251,4,4,0.00,36.32,0.00,N/A
172.65.234.107,4,4,0.00,36.32,0.00,N/A
172.65.207.4,4,4,0.00,36.32,0.00,N/A
172.65.197.50,4,4,0.00,36.32,0.00,N/A
104.24.66.170,4,4,0.00,36.33,0.00,N/A
172.67.253.71,4,4,0.00,36.33,0.00,N/A
172.66.205.219,4,4,0.00,36.33,0.00,N/A
172.65.232.83,4,4,0.00,36.35,0.00,N/A
104.24.89.26,4,4,0.00,36.35,0.00,N/A
104.24.70.230,4,4,0.00,36.38,0.00,N/A
172.65.89.81,4,4,0.00,36.42,0.00,N/A
104.21.74.66,4,4,0.00,36.43,0.00,N/A
172.67.224.150,4,4,0.00,36.45,0.00,N/A
104.24.92.65,4,4,0.00,36.48,0.00,N/A
172.65.233.113,4,4,0.00,36.48,0.00,N/A
172.67.232.208,4,4,0.00,36.49,0.00,N/A
172.65.59.144,4,4,0.00,36.50,0.00,N/A
172.65.78.36,4,4,0.00,36.50,0.00,N/A
172.66.202.226,4,4,0.00,36.51,0.00,N/A
172.66.196.231,4,4,0.00,36.51,0.00,N/A
172.67.231.254,4,4,0.00,36.52,0.00,N/A
172.66.201.83,4,4,0.00,36.53,0.00,N/A
172.65.206.1,4,4,0.00,36.59,0.00,N/A
172.65.144.1,4,4,0.00,36.59,0.00,N/A
172.65.215.165,4,4,0.00,36.59,0.00,N/A
172.67.170.143,4,4,0.00,36.63,0.00,N/A
172.65.80.17,4,4,0.00,36.65,0.00,N/A
172.65.64.191,4,4,0.00,36.67,0.00,N/A
104.24.137.40,4,4,0.00,36.69,0.00,N/A
172.66.194.219,4,4,0.00,36.70,0.00,N/A
172.66.3.7,4,4,0.00,36.71,0.00,N/A
172.65.208.244,4,4,0.00,36.74,0.00,N/A
172.66.148.114,4,4,0.00,36.75,0.00,N/A
172.65.3.93,4,4,0.00,36.77,0.00,N/A
172.65.205.118,4,4,0.00,36.77,0.00,N/A
172.65.254.156,4,4,0.00,36.78,0.00,N/A
172.65.202.79,4,4,0.00,36.78,0.00,N/A
172.66.138.42,4,4,0.00,36.79,0.00,N/A
172.66.144.53,4,4,0.00,36.80,0.00,N/A
162.159.60.76,4,4,0.00,36.80,0.00,N/A
172.65.159.136,4,4,0.00,36.81,0.00,N/A
172.66.195.53,4,4,0.00,36.83,0.00,N/A
172.65.61.199,4,4,0.00,36.83,0.00,N/A
172.67.148.183,4,4,0.00,36.83,0.00,N/A
172.66.145.50,4,4,0.00,36.84,0.00,N/A
172.65.99.209,4,4,0.00,36.84,0.00,N/A
104.24.136.229,4,4,0.00,36.84,0.00,N/A
162.159.46.13,4,4,0.00,36.86,0.00,N/A
172.66.146.85,4,4,0.00,36.86,0.00,N/A
172.65.63.122,4,4,0.00,36.87,0.00,N/A
172.65.51.244,4,4,0.00,36.90,0.00,N/A
172.67.255.177,4,4,0.00,36.90,0.00,N/A
172.65.77.183,4,4,0.00,36.91,0.00,N/A
104.21.47.53,4,4,0.00,36.92,0.00,N/A
172.65.98.213,4,4,0.00,36.92,0.00,N/A
104.24.77.70,4,4,0.00,36.94,0.00,N/A
172.67.240.188,4,4,0.00,36.95,0.00,N/A
172.65.118.97,4,4,0.00,36.96,0.00,N/A
172.67.178.175,4,4,0.00,36.97,0.00,N/A
172.67.233.201,4,4,0.00,36.99,0.00,N/A
172.66.147.61,4,4,0.00,37.00,0.00,N/A
172.65.204.227,4,4,0.00,37.00,0.00,N/A
172.65.214.156,4,4,0.00,37.01,0.00,N/A
172.65.76.252,4,4,0.00,37.02,0.00,N/A
104.21.35.239,4,4,0.00,37.03,0.00,N/A
104.24.131.30,4,4,0.00,37.03,0.00,N/A
172.65.117.50,4,4,0.00,37.04,0.00,N/A
162.159.14.103,4,4,0.00,37.04,0.00,N/A
172.65.56.168,4,4,0.00,37.05,0.00,N/A
172.65.244.96,4,4,0.00,37.06,0.00,N/A
172.65.10.253,4,4,0.00,37.06,0.00,N/A
162.159.41.221,4,4,0.00,37.07,0.00,N/A
172.65.143.87,4,4,0.00,37.07,0.00,N/A
162.159.11.86,4,4,0.00,37.07,0.00,N/A
104.21.34.29,4,4,0.00,37.08,0.00,N/A
162.159.128.99,4,4,0.00,37.09,0.00,N/A
162.159.12.82,4,4,0.00,37.11,0.00,N/A
162.159.42.112,4,4,0.00,37.13,0.00,N/A
172.67.213.74,4,4,0.00,37.16,0.00,N/A
172.65.158.3,4,4,0.00,37.17,0.00,N/A
104.21.4.222,4,4,0.00,37.17,0.00,N/A
162.159.43.126,4,4,0.00,37.21,0.00,N/A
172.67.172.237,4,4,0.00,37.22,0.00,N/A
172.67.218.232,4,4,0.00,37.26,0.00,N/A
104.21.84.102,4,4,0.00,37.26,0.00,N/A
162.159.199.150,4,4,0.00,37.28,0.00,N/A
162.159.36.124,4,4,0.00,37.29,0.00,N/A
104.21.31.169,4,4,0.00,37.31,0.00,N/A
104.21.126.213,4,4,0.00,37.31,0.00,N/A
104.21.89.122,4,4,0.00,37.33,0.00,N/A
162.159.205.71,4,4,0.00,37.33,0.00,N/A
104.21.125.129,4,4,0.00,37.34,0.00,N/A
104.21.120.167,4,4,0.00,37.35,0.00,N/A
104.21.124.115,4,4,0.00,37.36,0.00,N/A
172.65.72.51,4,4,0.00,37.37,0.00,N/A
172.65.157.89,4,4,0.00,37.40,0.00,N/A
172.66.137.129,4,4,0.00,37.40,0.00,N/A
162.159.212.204,4,4,0.00,37.41,0.00,N/A
172.65.142.189,4,4,0.00,37.41,0.00,N/A
172.65.136.157,4,4,0.00,37.42,0.00,N/A
104.21.110.114,4,4,0.00,37.45,0.00,N/A
104.24.4.4,4,4,0.00,37.47,0.00,N/A
104.21.195.44,4,4,0.00,37.49,0.00,N/A
172.65.141.199,4,4,0.00,37.49,0.00,N/A
172.67.171.179,4,4,0.00,37.50,0.00,N/A
162.159.206.3,4,4,0.00,37.51,0.00,N/A
172.66.142.34,4,4,0.00,37.51,0.00,N/A
104.21.194.236,4,4,0.00,37.53,0.00,N/A
162.159.213.26,4,4,0.00,37.55,0.00,N/A
104.21.33.150,4,4,0.00,37.55,0.00,N/A
172.67.216.193,4,4,0.00,37.59,0.00,N/A
172.65.249.226,4,4,0.00,37.60,0.00,N/A
172.67.203.5,4,4,0.00,37.61,0.00,N/A
172.67.133.32,4,4,0.00,37.61,0.00,N/A
162.159.207.108,4,4,0.00,37.63,0.00,N/A
162.159.50.36,4,4,0.00,37.63,0.00,N/A
162.159.51.89,4,4,0.00,37.65,0.00,N/A
172.65.170.241,4,4,0.00,37.65,0.00,N/A
172.67.134.122,4,4,0.00,37.66,0.00,N/A
172.65.180.93,4,4,0.00,37.67,0.00,N/A
104.24.84.53,4,4,0.00,37.68,0.00,N/A
162.159.198.44,4,4,0.00,37.70,0.00,N/A
104.24.83.78,4,4,0.00,37.73,0.00,N/A
172.65.165.184,4,4,0.00,37.76,0.00,N/A
172.67.190.36,4,4,0.00,37.78,0.00,N/A
104.24.69.181,4,4,0.00,37.79,0.00,N/A
104.24.8.36,4,4,0.00,37.80,0.00,N/A
172.65.8.91,4,4,0.00,37.84,0.00,N/A
162.159.201.43,4,4,0.00,37.84,0.00,N/A
172.67.127.97,4,4,0.00,37.90,0.00,N/A
172.67.237.20,4,4,0.00,37.90,0.00,N/A
104.24.24.109,4,4,0.00,37.91,0.00,N/A
104.24.63.203,4,4,0.00,37.93,0.00,N/A
172.65.168.3,4,4,0.00,37.94,0.00,N/A
172.67.125.162,4,4,0.00,37.96,0.00,N/A
172.65.140.162,4,4,0.00,37.96,0.00,N/A
104.24.65.82,4,4,0.00,37.98,0.00,N/A
172.67.202.168,4,4,0.00,37.98,0.00,N/A
172.67.247.158,4,4,0.00,37.99,0.00,N/A
104.24.43.246,4,4,0.00,38.00,0.00,N/A
104.24.61.106,4,4,0.00,38.00,0.00,N/A
104.24.47.15,4,4,0.00,38.01,0.00,N/A
104.24.42.55,4,4,0.00,38.03,0.00,N/A
104.24.87.135,4,4,0.00,38.03,0.00,N/A
104.24.45.53,4,4,0.00,38.04,0.00,N/A
104.24.86.185,4,4,0.00,38.05,0.00,N/A
104.24.44.251,4,4,0.00,38.06,0.00,N/A
104.24.59.61,4,4,0.00,38.07,0.00,N/A
172.67.126.166,4,4,0.00,38.11,0.00,N/A
172.65.198.168,4,4,0.00,38.15,0.00,N/A
104.24.75.43,4,4,0.00,38.16,0.00,N/A
172.67.147.9,4,4,0.00,38.16,0.00,N/A
172.65.243.233,4,4,0.00,38.16,0.00,N/A
104.24.72.171,4,4,0.00,38.19,0.00,N/A
172.65.65.241,4,4,0.00,38.21,0.00,N/A
172.65.169.141,4,4,0.00,38.23,0.00,N/A
172.65.66.219,4,4,0.00,38.25,0.00,N/A
172.65.241.183,4,4,0.00,38.25,0.00,N/A
172.67.236.185,4,4,0.00,38.27,0.00,N/A
172.65.167.12,4,4,0.00,38.28,0.00,N/A
172.67.192.81,4,4,0.00,38.32,0.00,N/A
172.67.235.45,4,4,0.00,38.32,0.00,N/A
172.65.171.202,4,4,0.00,38.32,0.00,N/A
104.24.5.42,4,4,0.00,38.33,0.00,N/A
172.67.193.173,4,4,0.00,38.44,0.00,N/A
104.21.78.22,4,4,0.00,38.47,0.00,N/A
172.65.119.242,4,4,0.00,38.48,0.00,N/A
172.66.143.227,4,4,0.00,38.50,0.00,N/A
104.21.79.171,4,4,0.00,38.51,0.00,N/A
162.159.138.142,4,4,0.00,38.56,0.00,N/A
108.162.198.106,4,4,0.00,38.56,0.00,N/A
188.114.99.167,4,4,0.00,38.60,0.00,N/A
104.21.20.107,4,4,0.00,38.60,0.00,N/A
108.162.192.138,4,4,0.00,38.60,0.00,N/A
104.21.104.93,4,4,0.00,38.62,0.00,N/A
162.159.35.188,4,4,0.00,38.65,0.00,N/A
172.65.195.152,4,4,0.00,38.65,0.00,N/A
104.21.100.100,4,4,0.00,38.66,0.00,N/A
104.21.106.92,4,4,0.00,38.67,0.00,N/A
188.114.97.170,4,4,0.00,38.70,0.00,N/A
172.66.203.4,4,4,0.00,38.71,0.00,N/A
173.245.58.126,4,4,0.00,38.72,0.00,N/A
172.67.245.165,4,4,0.00,38.73,0.00,N/A
104.16.10.123,4,4,0.00,38.76,0.00,N/A
172.65.201.14,4,4,0.00,38.78,0.00,N/A
172.65.106.1,4,4,0.00,38.78,0.00,N/A
108.162.193.191,4,4,0.00,38.79,0.00,N/A
172.65.194.247,4,4,0.00,38.81,0.00,N/A
172.67.159.225,4,4,0.00,38.81,0.00,N/A
104.21.85.210,4,4,0.00,38.81,0.00,N/A
104.24.133.11,4,4,0.00,38.82,0.00,N/A
172.65.134.211,4,4,0.00,38.85,0.00,N/A
172.67.254.208,4,4,0.00,38.89,0.00,N/A
172.65.112.155,4,4,0.00,38.90,0.00,N/A
172.65.211.98,4,4,0.00,38.90,0.00,N/A
104.16.4.193,4,4,0.00,38.90,0.00,N/A
104.27.15.75,4,4,0.00,38.96,0.00,N/A
104.24.172.195,4,4,0.00,38.98,0.00,N/A
104.24.142.110,4,4,0.00,38.99,0.00,N/A
172.65.231.90,4,4,0.00,39.00,0.00,N/A
104.27.19.116,4,4,0.00,39.01,0.00,N/A
172.65.113.186,4,4,0.00,39.02,0.00,N/A
104.24.141.13,4,4,0.00,39.10,0.00,N/A
172.66.214.225,4,4,0.00,39.12,0.00,N/A
104.21.198.27,4,4,0.00,39.13,0.00,N/A
172.65.125.69,4,4,0.00,39.21,0.00,N/A
162.159.58.68,4,4,0.00,39.27,0.00,N/A
104.24.140.200,4,4,0.00,39.28,0.00,N/A
172.65.111.190,4,4,0.00,39.28,0.00,N/A
172.66.141.88,4,4,0.00,39.29,0.00,N/A
172.65.104.121,4,4,0.00,39.30,0.00,N/A
104.21.199.58,4,4,0.00,39.32,0.00,N/A
104.21.197.245,4,4,0.00,39.36,0.00,N/A
172.67.252.2,4,4,0.00,39.38,0.00,N/A
162.159.48.143,4,4,0.00,39.38,0.00,N/A
172.65.235.183,4,4,0.00,39.41,0.00,N/A
172.65.252.157,4,4,0.00,39.41,0.00,N/A
162.159.49.166,4,4,0.00,39.49,0.00,N/A
104.27.17.63,4,4,0.00,39.51,0.00,N/A
104.21.115.163,4,4,0.00,39.54,0.00,N/A
172.65.166.199,4,4,0.00,39.55,0.00,N/A
162.159.33.77,4,4,0.00,39.55,0.00,N/A
172.67.241.51,4,4,0.00,39.60,0.00,N/A
104.24.21.109,4,4,0.00,39.60,0.00,N/A
104.24.67.80,4,4,0.00,39.62,0.00,N/A
104.24.79.70,4,4,0.00,39.63,0.00,N/A
162.159.7.205,4,4,0.00,39.64,0.00,N/A
172.65.97.190,4,4,0.00,39.66,0.00,N/A
162.159.16.136,4,4,0.00,39.69,0.00,N/A
104.21.113.63,4,4,0.00,39.70,0.00,N/A
172.67.219.10,4,4,0.00,39.70,0.00,N/A
104.21.119.83,4,4,0.00,39.71,0.00,N/A
104.21.114.141,4,4,0.00,39.73,0.00,N/A
104.21.112.163,4,4,0.00,39.75,0.00,N/A
172.65.192.112,4,4,0.00,39.76,0.00,N/A
104.27.12.4,4,4,0.00,39.77,0.00,N/A
162.159.0.82,4,4,0.00,39.77,0.00,N/A
198.41.217.150,4,4,0.00,39.85,0.00,N/A
198.41.201.227,4,4,0.00,39.88,0.00,N/A
172.67.249.117,4,4,0.00,39.90,0.00,N/A
104.21.76.62,4,4,0.00,39.92,0.00,N/A
104.27.13.51,4,4,0.00,39.92,0.00,N/A
172.67.191.108,4,4,0.00,39.93,0.00,N/A
104.21.86.240,4,4,0.00,39.93,0.00,N/A
172.65.190.137,4,4,0.00,39.94,0.00,N/A
104.21.81.209,4,4,0.00,39.97,0.00,N/A
172.65.188.0,4,4,0.00,40.00,0.00,N/A
104.21.68.40,4,4,0.00,40.00,0.00,N/A
104.21.90.61,4,4,0.00,40.03,0.00,N/A
162.159.13.248,4,4,0.00,40.04,0.00,N/A
162.159.17.85,4,4,0.00,40.04,0.00,N/A
198.41.219.11,4,4,0.00,40.04,0.00,N/A
190.93.246.105,4,4,0.00,40.05,0.00,N/A
172.65.94.213,4,4,0.00,40.06,0.00,N/A
172.65.189.133,4,4,0.00,40.12,0.00,N/A
172.66.168.72,4,4,0.00,40.18,0.00,N/A
172.66.175.19,4,4,0.00,40.20,0.00,N/A
172.65.187.188,4,4,0.00,40.22,0.00,N/A
104.24.26.129,4,4,0.00,40.25,0.00,N/A
172.66.172.102,4,4,0.00,40.25,0.00,N/A
172.65.191.63,4,4,0.00,40.27,0.00,N/A
172.67.244.80,4,4,0.00,40.36,0.00,N/A
104.24.130.46,4,4,0.00,40.37,0.00,N/A
172.65.114.238,4,4,0.00,40.37,0.00,N/A
173.245.49.200,4,4,0.00,40.39,0.00,N/A
162.159.32.166,4,4,0.00,40.42,0.00,N/A
172.66.159.227,4,4,0.00,40.45,0.00,N/A
172.67.246.112,4,4,0.00,40.46,0.00,N/A
104.21.211.150,4,4,0.00,40.47,0.00,N/A
172.65.186.224,4,4,0.00,40.50,0.00,N/A
104.24.129.251,4,4,0.00,40.52,0.00,N/A
172.66.163.157,4,4,0.00,40.85,0.00,N/A
172.66.165.224,4,4,0.00,40.86,0.00,N/A
104.24.128.123,4,4,0.00,40.88,0.00,N/A
172.66.173.73,4,4,0.00,40.89,0.00,N/A
172.67.234.131,4,4,0.00,40.91,0.00,N/A
172.65.183.115,4,4,0.00,40.92,0.00,N/A
172.65.193.195,4,4,0.00,40.94,0.00,N/A
172.66.161.55,4,4,0.00,40.98,0.00,N/A
172.66.174.229,4,4,0.00,41.03,0.00,N/A
172.66.160.134,4,4,0.00,41.07,0.00,N/A
172.66.164.191,4,4,0.00,41.08,0.00,N/A
104.24.185.54,4,4,0.00,41.10,0.00,N/A
172.65.110.116,4,4,0.00,41.16,0.00,N/A
172.67.221.59,4,4,0.00,41.16,0.00,N/A
104.24.37.230,4,4,0.00,41.17,0.00,N/A
104.24.52.51,4,4,0.00,41.18,0.00,N/A
104.24.41.10,4,4,0.00,41.19,0.00,N/A
104.24.40.183,4,4,0.00,41.20,0.00,N/A
104.24.50.177,4,4,0.00,41.22,0.00,N/A
104.24.36.183,4,4,0.00,41.24,0.00,N/A
104.24.31.214,4,4,0.00,41.25,0.00,N/A
104.24.29.205,4,4,0.00,41.25,0.00,N/A
104.24.53.72,4,4,0.00,41.26,0.00,N/A
104.24.64.118,4,4,0.00,41.28,0.00,N/A
172.66.212.39,4,4,0.00,41.28,0.00,N/A
104.21.19.142,4,4,0.00,41.29,0.00,N/A
104.24.167.221,4,4,0.00,41.31,0.00,N/A
104.21.203.253,4,4,0.00,41.31,0.00,N/A
104.24.90.122,4,4,0.00,41.33,0.00,N/A
104.24.49.138,4,4,0.00,41.33,0.00,N/A
104.24.51.221,4,4,0.00,41.35,0.00,N/A
172.67.242.5,4,4,0.00,41.36,0.00,N/A
104.24.174.196,4,4,0.00,41.38,0.00,N/A
104.24.48.38,4,4,0.00,41.39,0.00,N/A
172.66.209.202,4,4,0.00,41.41,0.00,N/A
104.21.196.91,4,4,0.00,41.43,0.00,N/A
173.245.59.42,4,4,0.00,41.44,0.00,N/A
162.159.197.82,4,4,0.00,41.48,0.00,N/A
172.66.210.183,4,4,0.00,41.55,0.00,N/A
172.66.207.48,4,4,0.00,41.55,0.00,N/A
172.66.206.128,4,4,0.00,41.57,0.00,N/A
162.159.196.76,4,4,0.00,41.63,0.00,N/A
172.66.204.29,4,4,0.00,41.63,0.00,N/A
172.65.199.114,4,4,0.00,41.64,0.00,N/A
172.65.210.246,4,4,0.00,41.65,0.00,N/A
104.27.207.232,4,4,0.00,41.68,0.00,N/A
104.24.173.210,4,4,0.00,41.77,0.00,N/A
104.24.149.119,4,4,0.00,41.77,0.00,N/A
104.24.184.3,4,4,0.00,41.79,0.00,N/A
104.27.206.250,4,4,0.00,41.81,0.00,N/A
104.24.147.53,4,4,0.00,41.82,0.00,N/A
104.24.3.145,4,4,0.00,41.82,0.00,N/A
104.24.0.56,4,4,0.00,41.83,0.00,N/A
104.24.1.137,4,4,0.00,41.87,0.00,N/A
172.65.209.48,4,4,0.00,41.91,0.00,N/A
104.24.2.16,4,4,0.00,41.92,0.00,N/A
104.21.193.239,4,4,0.00,41.93,0.00,N/A
188.114.98.110,4,4,0.00,41.96,0.00,N/A
162.159.61.6,4,4,0.00,42.00,0.00,N/A
104.21.208.164,4,4,0.00,42.01,0.00,N/A
104.27.204.233,4,4,0.00,42.03,0.00,N/A
104.21.207.233,4,4,0.00,42.04,0.00,N/A
162.159.62.70,4,4,0.00,42.05,0.00,N/A
104.21.209.135,4,4,0.00,42.07,0.00,N/A
162.159.192.13,4,4,0.00,42.09,0.00,N/A
104.21.206.244,4,4,0.00,42.12,0.00,N/A
104.21.0.140,4,4,0.00,42.21,0.00,N/A
172.66.192.8,4,4,0.00,42.22,0.00,N/A
104.27.200.184,4,4,0.00,42.22,0.00,N/A
172.66.193.222,4,4,0.00,42.22,0.00,N/A
172.65.176.208,4,4,0.00,42.26,0.00,N/A
162.159.195.159,4,4,0.00,42.40,0.00,N/A
172.65.196.244,4,4,0.00,42.49,0.00,N/A
104.21.103.247,4,4,0.00,42.54,0.00,N/A
162.159.237.186,4,4,0.00,42.57,0.00,N/A
104.27.0.12,4,4,0.00,42.58,0.00,N/A
172.65.175.3,4,4,0.00,42.61,0.00,N/A
162.159.194.192,4,4,0.00,42.69,0.00,N/A
104.21.204.138,4,4,0.00,42.71,0.00,N/A
104.29.124.49,4,4,0.00,42.82,0.00,N/A
188.114.96.176,4,4,0.00,42.83,0.00,N/A
104.29.127.80,4,4,0.00,42.83,0.00,N/A
104.24.58.237,4,4,0.00,42.84,0.00,N/A
104.29.126.219,4,4,0.00,42.85,0.00,N/A
172.65.184.12,4,4,0.00,42.85,0.00,N/A
104.24.55.235,4,4,0.00,42.88,0.00,N/A
104.24.134.252,4,4,0.00,42.89,0.00,N/A
172.65.185.183,4,4,0.00,42.91,0.00,N/A
104.24.187.111,4,4,0.00,42.98,0.00,N/A
190.93.247.6,4,4,0.00,43.02,0.00,N/A
104.24.197.242,4,4,0.00,43.04,0.00,N/A
172.65.178.161,4,4,0.00,43.07,0.00,N/A
103.21.244.237,4,4,0.00,43.11,0.00,N/A
172.65.182.50,4,4,0.00,43.12,0.00,N/A
172.66.215.201,4,4,0.00,43.14,0.00,N/A
172.66.170.89,4,4,0.00,43.17,0.00,N/A
162.159.236.29,4,4,0.00,43.21,0.00,N/A
104.21.205.70,4,4,0.00,43.25,0.00,N/A
172.66.177.219,4,4,0.00,43.25,0.00,N/A
172.66.167.79,4,4,0.00,43.29,0.00,N/A
172.66.176.215,4,4,0.00,43.30,0.00,N/A
162.159.202.42,4,4,0.00,43.31,0.00,N/A
172.66.169.164,4,4,0.00,43.36,0.00,N/A
172.65.181.170,4,4,0.00,43.43,0.00,N/A
104.16.0.7,4,4,0.00,43.57,0.00,N/A
104.27.10.182,4,4,0.00,43.57,0.00,N/A
104.16.11.130,4,4,0.00,43.64,0.00,N/A
104.16.6.234,4,4,0.00,43.64,0.00,N/A
104.27.7.119,4,4,0.00,43.64,0.00,N/A
104.16.12.175,4,4,0.00,43.65,0.00,N/A
104.21.212.189,4,4,0.00,43.70,0.00,N/A
104.27.8.193,4,4,0.00,43.71,0.00,N/A
104.27.9.64,4,4,0.00,43.71,0.00,N/A
104.16.9.65,4,4,0.00,43.72,0.00,N/A
104.27.203.67,4,4,0.00,43.82,0.00,N/A
104.16.15.118,4,4,0.00,43.83,0.00,N/A
104.16.7.86,4,4,0.00,43.89,0.00,N/A
104.21.73.18,4,4,0.00,43.89,0.00,N/A
104.16.13.176,4,4,0.00,43.90,0.00,N/A
162.159.4.218,4,4,0.00,43.92,0.00,N/A
162.159.10.246,4,4,0.00,43.93,0.00,N/A
104.16.5.210,4,4,0.00,43.95,0.00,N/A
104.27.5.50,4,4,0.00,43.99,0.00,N/A
104.27.2.30,4,4,0.00,44.02,0.00,N/A
104.27.202.229,4,4,0.00,44.05,0.00,N/A
104.27.6.199,4,4,0.00,44.32,0.00,N/A
104.24.57.54,4,4,0.00,44.51,0.00,N/A
104.27.4.21,4,4,0.00,44.52,0.00,N/A
104.21.215.121,4,4,0.00,44.54,0.00,N/A
104.24.144.71,4,4,0.00,44.55,0.00,N/A
104.24.80.29,4,4,0.00,44.64,0.00,N/A
104.24.164.108,4,4,0.00,44.64,0.00,N/A
104.24.88.8,4,4,0.00,44.66,0.00,N/A
104.21.2.215,4,4,0.00,44.67,0.00,N/A
104.24.16.20,4,4,0.00,44.68,0.00,N/A
162.159.57.241,4,4,0.00,44.69,0.00,N/A
162.159.56.6,4,4,0.00,44.74,0.00,N/A
190.93.245.193,4,4,0.00,44.76,0.00,N/A
141.101.113.11,4,4,0.00,44.76,0.00,N/A
104.21.1.205,4,4,0.00,44.77,0.00,N/A
104.24.146.122,4,4,0.00,45.04,0.00,N/A
104.24.166.95,4,4,0.00,45.08,0.00,N/A
104.21.202.118,4,4,0.00,45.09,0.00,N/A
104.21.230.108,4,4,0.00,45.11,0.00,N/A
172.65.179.197,4,4,0.00,45.15,0.00,N/A
104.24.180.13,4,4,0.00,45.19,0.00,N/A
104.24.148.154,4,4,0.00,45.22,0.00,N/A
104.24.30.205,4,4,0.00,45.23,0.00,N/A
104.24.20.161,4,4,0.00,45.26,0.00,N/A
104.24.138.214,4,4,0.00,45.27,0.00,N/A
104.24.139.186,4,4,0.00,45.29,0.00,N/A
104.24.28.237,4,4,0.00,45.31,0.00,N/A
104.29.125.72,4,4,0.00,45.47,0.00,N/A
104.21.224.149,4,4,0.00,45.50,0.00,N/A
104.21.226.61,4,4,0.00,45.53,0.00,N/A
104.21.229.226,4,4,0.00,45.56,0.00,N/A
104.21.227.14,4,4,0.00,45.69,0.00,N/A
104.21.239.133,4,4,0.00,45.74,0.00,N/A
104.24.182.169,4,4,0.00,45.78,0.00,N/A
104.24.183.164,4,4,0.00,45.78,0.00,N/A
104.27.201.254,4,4,0.00,45.78,0.00,N/A
104.24.175.53,4,4,0.00,45.85,0.00,N/A
104.24.176.243,4,4,0.00,45.90,0.00,N/A
104.21.225.211,4,4,0.00,45.91,0.00,N/A
104.24.177.8,4,4,0.00,46.01,0.00,N/A
104.27.199.214,4,4,0.00,46.02,0.00,N/A
104.24.181.196,4,4,0.00,46.04,0.00,N/A
104.24.12.238,4,4,0.00,46.07,0.00,N/A
